,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
23338,Getting Information,Making Decisions and Solving Problems,Getting Information,Getting Information,Getting Information
23339,"Communicating with Supervisors, Peers, or Subordinates",Making Decisions and Solving Problems,Getting Information,Getting Information,Getting Information
23340,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23341,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23342,Processing Information,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
23343,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
23344,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23345,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23346,"Inspecting Equipment, Structures, or Materials",Performing General Physical Activities,Performing General Physical Activities,Monitoring and Controlling Resources,Repairing and Maintaining Mechanical Equipment
23347,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23348,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23349,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
23350,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
23351,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23352,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23353,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
23354,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23355,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23356,Handling and Moving Objects,Performing General Physical Activities,"Guiding, Directing, and Motivating Subordinates",Performing General Physical Activities,Handling and Moving Objects
23357,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23358,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23359,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23360,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23361,Processing Information,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23362,Processing Information,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Monitoring and Controlling Resources
23363,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23364,Processing Information,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
23365,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
23366,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes,Performing Administrative Activities
23367,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23368,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
23369,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
23370,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
23371,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities
23372,Documenting/Recording Information,Handling and Moving Objects,Monitoring and Controlling Resources,Handling and Moving Objects,Monitoring and Controlling Resources
23373,Processing Information,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23374,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23375,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23376,Processing Information,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
